Serial,URL,College,Course,Status
1055,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1055_P1_A1.pdf,,,Error or Not Found
1056,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1056_P1_A1.pdf,,,Error or Not Found
1057,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1057_P1_A1.pdf,,,Error or Not Found
1058,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1058_P1_A1.pdf,,,Error or Not Found
1059,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1059_P1_A1.pdf,,,Error or Not Found
1060,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1060_P1_A1.pdf,,,Error or Not Found
1061,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1061_P1_A1.pdf,,,Error or Not Found
1062,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1062_P1_A1.pdf,,,Error or Not Found
1063,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1063_P1_A1.pdf,,,Error or Not Found
1064,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1064_P1_A1.pdf,,,Error or Not Found
1065,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1065_P1_A1.pdf,,,Error or Not Found
1066,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1066_P1_A1.pdf,,,Error or Not Found
1067,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1067_P1_A1.pdf,,,Error or Not Found
1068,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1068_P1_A1.pdf,,,Error or Not Found
1069,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1069_P1_A1.pdf,,,Error or Not Found
1070,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1070_P1_A1.pdf,,,Error or Not Found
1071,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1071_P1_A1.pdf,,,Error or Not Found
1072,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1072_P1_A1.pdf,,,Error or Not Found
1073,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1073_P1_A1.pdf,,,Error or Not Found
1074,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1074_P1_A1.pdf,,,Error or Not Found
1075,https://wbcap2025storage.blob.core.windows.net/public/MeritList_P1/1075_P1_A1.pdf,,,Error or Not Found
